iter	Passed	Remaining
0	53	53506
1	98	48989
2	136	45475
3	182	45525
4	222	44271
5	273	45256
6	323	45854
7	362	44970
8	408	44928
9	453	44909
10	497	44689
11	535	44059
12	580	44048
13	627	44172
14	671	44116
15	717	44132
16	765	44249
17	811	44281
18	861	44474
19	906	44428
20	953	44463
21	1003	44611
22	1063	45174
23	1111	45211
24	1157	45135
25	1207	45244
26	1264	45582
27	1311	45526
28	1353	45316
29	1401	45330
30	1445	45169
31	1494	45195
32	1540	45140
33	1587	45095
34	1634	45075
35	1688	45219
36	1746	45468
37	1802	45630
38	1851	45625
39	1903	45681
40	1953	45692
41	2004	45728
42	2059	45835
43	2111	45875
44	2175	46164
45	2228	46213
46	2281	46253
47	2347	46568
48	2406	46701
49	2466	46859
50	2527	47034
51	2603	47472
52	2678	47859
53	2746	48123
54	2812	48317
55	2887	48672
56	2949	48797
57	3009	48877
58	3076	49059
59	3140	49197
60	3208	49396
61	3274	49547
62	3337	49631
63	3400	49734
64	3463	49815
65	3533	50009
66	3591	50014
67	3655	50103
68	3728	50303
69	3796	50434
70	3866	50591
71	3943	50833
72	4007	50892
73	4081	51069
74	4146	51141
75	4216	51264
76	4280	51313
77	4347	51392
78	4408	51395
79	4480	51521
80	4557	51706
81	4625	51785
82	4695	51876
83	4757	51874
84	4821	51905
85	4895	52030
86	4977	52238
87	5042	52253
88	5099	52199
89	5171	52290
90	5247	52414
91	5307	52377
92	5365	52330
93	5423	52270
94	5472	52132
95	5543	52198
96	5601	52148
97	5668	52173
98	5718	52040
99	5775	51975
100	5838	51970
101	5899	51942
102	5951	51829
103	6009	51773
104	6073	51772
105	6126	51671
106	6186	51628
107	6266	51759
108	6325	51704
109	6391	51714
110	6471	51832
111	6536	51828
112	6599	51799
113	6661	51771
114	6711	51647
115	6760	51519
116	6812	51413
117	6863	51298
118	6921	51244
119	6986	51232
120	7046	51186
121	7098	51086
122	7149	50978
123	7199	50864
124	7252	50770
125	7299	50630
126	7355	50562
127	7419	50543
128	7467	50416
129	7527	50379
130	7577	50265
131	7634	50204
132	7683	50086
133	7732	49975
134	7771	49797
135	7817	49665
136	7874	49605
137	7937	49581
138	7989	49487
139	8026	49303
140	8066	49142
141	8125	49096
142	8175	48997
143	8208	48796
144	8260	48710
145	8304	48575
146	8360	48514
147	8409	48412
148	8459	48313
149	8512	48236
150	8566	48165
151	8618	48081
152	8674	48020
153	8710	47853
154	8767	47798
155	8834	47795
156	8889	47734
157	8933	47610
158	8992	47565
159	9052	47523
160	9097	47408
161	9156	47363
162	9199	47241
163	9247	47140
164	9292	47027
165	9351	46983
166	9420	46988
167	9473	46916
168	9529	46857
169	9572	46738
170	9618	46628
171	9719	46787
172	9749	46606
173	9808	46561
174	9850	46437
175	9896	46333
176	9956	46295
177	9996	46165
178	10031	46012
179	10086	45951
180	10124	45813
181	10164	45682
182	10200	45538
183	10244	45430
184	10287	45322
185	10341	45259
186	10397	45202
187	10450	45137
188	10476	44955
189	10529	44888
190	10574	44790
191	10625	44715
192	10664	44593
193	10716	44521
194	10763	44434
195	10793	44276
196	10842	44195
197	10889	44108
198	10942	44043
199	10996	43985
200	11037	43876
201	11078	43764
202	11122	43668
203	11168	43579
204	11210	43475
205	11251	43368
206	11302	43297
207	11350	43218
208	11393	43120
209	11436	43021
210	11476	42915
211	11528	42852
212	11560	42713
213	11599	42602
214	11640	42503
215	11682	42401
216	11730	42326
217	11767	42210
218	11806	42103
219	11849	42013
220	11883	41887
221	11932	41818
222	11981	41748
223	12009	41605
224	12067	41566
225	12107	41463
226	12154	41389
227	12194	41291
228	12226	41165
229	12268	41072
230	12313	40990
231	12352	40891
232	12402	40828
233	12432	40697
234	12471	40598
235	12507	40491
236	12551	40407
237	12580	40277
238	12615	40169
239	12655	40076
240	12703	40008
241	12729	39873
242	12768	39777
243	12800	39659
244	12845	39583
