iter	Passed	Remaining
0	16	12896
1	30	12150
2	44	11944
3	59	11835
4	73	11683
5	87	11641
6	101	11537
7	115	11459
8	129	11397
9	144	11397
10	158	11397
11	173	11366
12	186	11313
13	200	11258
14	213	11183
15	228	11172
16	241	11133
17	257	11167
18	272	11184
19	286	11173
20	301	11178
21	315	11152
22	329	11142
23	344	11145
24	358	11121
25	373	11104
26	387	11086
27	401	11070
28	415	11055
29	429	11020
30	443	11001
31	457	10981
32	471	10963
33	485	10948
34	500	10931
35	513	10901
36	528	10892
37	547	10972
38	561	10949
39	575	10931
40	589	10913
41	603	10899
42	617	10873
43	632	10873
44	647	10859
45	660	10831
46	675	10820
47	689	10805
48	703	10786
49	717	10760
50	730	10734
51	745	10716
52	758	10695
53	772	10672
54	786	10653
55	800	10630
56	814	10614
57	828	10593
58	842	10577
59	856	10567
60	870	10548
61	884	10528
62	898	10505
63	911	10479
64	925	10461
65	939	10445
66	953	10429
67	966	10408
68	981	10395
69	994	10371
70	1007	10349
71	1022	10337
72	1038	10339
73	1051	10318
74	1065	10304
75	1080	10292
76	1095	10285
77	1110	10275
78	1123	10257
79	1137	10239
80	1151	10218
81	1165	10202
82	1178	10179
83	1191	10159
84	1205	10137
85	1218	10118
86	1232	10099
87	1245	10080
88	1259	10058
89	1272	10039
90	1286	10020
91	1299	10003
92	1314	9989
93	1328	9977
94	1341	9958
95	1356	9944
96	1370	9934
97	1385	9922
98	1398	9904
99	1412	9887
100	1426	9875
101	1440	9857
102	1454	9843
103	1468	9826
104	1482	9809
105	1495	9790
106	1508	9769
107	1522	9755
108	1537	9746
109	1551	9730
110	1563	9707
111	1578	9697
112	1592	9682
113	1606	9666
114	1619	9648
115	1633	9632
116	1647	9616
117	1660	9599
118	1674	9582
119	1687	9563
120	1701	9547
121	1715	9532
122	1728	9514
123	1741	9494
124	1755	9477
125	1769	9464
126	1783	9450
127	1796	9432
128	1810	9415
129	1823	9396
130	1836	9378
131	1850	9363
132	1864	9352
133	1878	9338
134	1893	9324
135	1907	9310
136	1921	9296
137	1934	9279
138	1947	9263
139	1961	9244
140	1975	9232
141	1988	9215
142	2002	9198
143	2016	9184
144	2029	9168
145	2043	9152
146	2056	9135
147	2071	9126
148	2084	9108
149	2098	9094
150	2112	9077
151	2125	9062
152	2139	9048
153	2153	9033
154	2167	9019
155	2180	9002
156	2194	8986
157	2207	8970
158	2221	8955
159	2236	8944
160	2250	8931
161	2264	8918
162	2279	8907
163	2292	8892
164	2306	8876
165	2320	8861
166	2333	8845
167	2347	8830
168	2362	8822
169	2376	8806
170	2389	8791
171	2403	8773
172	2416	8757
173	2429	8742
174	2444	8729
175	2457	8713
176	2471	8699
177	2485	8685
178	2499	8670
179	2513	8656
180	2526	8640
181	2539	8623
182	2553	8610
183	2567	8596
184	2580	8578
185	2594	8565
186	2608	8549
187	2622	8536
188	2635	8520
189	2649	8507
190	2663	8492
191	2677	8479
192	2691	8464
193	2705	8450
194	2719	8437
195	2733	8422
196	2746	8407
197	2760	8391
198	2774	8378
199	2787	8362
200	2801	8347
201	2814	8332
202	2828	8317
203	2842	8303
204	2856	8289
205	2870	8276
206	2884	8263
207	2899	8251
208	2912	8236
209	2926	8222
210	2940	8209
211	2954	8194
212	2968	8180
213	2982	8167
214	2996	8152
215	3009	8137
216	3023	8122
217	3037	8108
218	3051	8095
219	3064	8080
220	3078	8065
221	3092	8052
222	3107	8039
223	3121	8026
224	3134	8011
225	3149	7998
226	3164	7986
227	3177	7972
228	3191	7958
229	3218	7975
230	3231	7960
231	3245	7945
232	3258	7930
233	3272	7916
234	3286	7902
235	3300	7888
236	3314	7874
237	3328	7859
238	3342	7845
239	3356	7832
240	3370	7817
241	3384	7804
242	3399	7792
243	3413	7778
244	3427	7764
245	3441	7751
246	3455	7737
247	3470	7724
248	3484	7711
249	3498	7696
250	3512	7682
251	3525	7667
252	3539	7653
253	3553	7639
254	3567	7624
255	3580	7609
256	3594	7594
257	3607	7579
258	3621	7564
259	3635	7550
260	3649	7536
261	3662	7521
262	3675	7505
263	3689	7491
264	3703	7476
265	3717	7461
266	3730	7447
267	3744	7433
268	3758	7419
269	3772	7405
270	3786	7390
271	3800	7376
272	3813	7360
273	3826	7345
274	3840	7331
275	3853	7316
276	3867	7301
277	3881	7287
278	3895	7273
279	3908	7258
280	3921	7243
281	3935	7229
282	3950	7216
283	3964	7202
284	3978	7189
285	3992	7175
286	4006	7161
287	4020	7146
288	4034	7132
289	4048	7119
290	4062	7106
291	4076	7091
292	4090	7078
293	4104	7063
294	4117	7049
295	4131	7034
296	4146	7022
297	4159	7007
298	4173	6992
299	4187	6978
300	4201	6965
301	4214	6950
302	4229	6937
303	4244	6924
304	4259	6912
305	4273	6898
306	4286	6884
307	4300	6869
308	4314	6854
309	4327	6840
310	4342	6827
311	4355	6812
312	4369	6797
313	4382	6783
314	4396	6769
315	4409	6754
316	4423	6740
317	4437	6725
318	4451	6711
319	4464	6697
320	4478	6682
321	4491	6667
322	4504	6652
323	4518	6638
324	4533	6625
325	4547	6612
326	4560	6597
327	4574	6582
328	4587	6567
329	4601	6553
330	4614	6538
331	4627	6523
