iter	Passed	Remaining
0	147	29253
1	150	14927
2	154	10138
3	157	7733
4	161	6305
5	164	5333
6	168	4638
7	171	4121
8	175	3716
9	178	3391
10	181	3121
11	185	2899
12	188	2709
13	191	2545
14	195	2405
15	198	2279
16	201	2168
17	205	2074
18	208	1990
19	212	1913
20	216	1842
21	219	1775
22	223	1718
23	226	1662
24	230	1610
25	233	1562
26	237	1518
27	240	1476
28	243	1435
29	246	1397
30	249	1361
31	253	1332
32	257	1300
33	260	1269
34	263	1241
35	266	1213
36	269	1189
37	273	1164
38	276	1141
39	279	1119
40	283	1097
41	286	1076
42	289	1056
43	292	1037
44	295	1019
45	299	1001
46	302	984
47	305	967
48	308	951
49	311	935
50	315	922
51	318	907
52	322	893
53	325	879
54	328	865
55	331	852
56	334	839
57	337	826
58	340	814
59	344	803
60	347	792
61	351	782
62	355	772
63	358	762
64	362	752
65	365	741
66	368	732
67	372	722
68	375	712
69	378	703
70	381	694
71	385	684
72	388	675
73	391	666
74	394	658
75	398	649
76	401	641
77	404	632
78	407	624
79	410	616
80	414	608
81	417	600
82	420	592
83	423	585
84	427	578
85	430	571
86	434	563
87	437	556
88	440	549
89	443	542
90	446	535
91	449	528
92	453	521
93	456	515
94	460	508
95	463	501
96	466	495
97	469	488
98	472	482
99	475	475
100	478	469
101	482	463
102	485	457
103	488	450
104	491	444
105	494	438
106	497	432
107	501	427
108	504	421
109	507	415
110	511	409
111	514	404
112	518	398
113	521	393
114	524	387
115	527	382
116	530	376
117	534	371
118	537	365
119	540	360
120	543	355
121	546	349
122	549	344
123	553	339
124	556	333
125	559	328
126	562	323
127	565	318
128	569	313
129	572	308
130	575	303
131	578	298
132	582	293
133	585	288
134	588	283
135	591	278
136	594	273
137	597	268
138	601	263
139	604	259
140	607	254
141	611	249
142	614	245
143	617	240
144	621	235
145	624	230
146	627	226
147	630	221
148	633	216
149	636	212
150	640	207
151	643	203
152	646	198
153	649	194
154	652	189
155	656	185
156	659	180
157	662	176
158	665	171
159	668	167
160	671	162
161	675	158
162	678	153
163	681	149
164	684	145
165	688	140
166	691	136
167	694	132
168	698	128
169	702	123
170	706	119
171	710	115
172	713	111
173	716	107
174	720	102
175	723	98
176	726	94
177	730	90
178	733	86
179	736	81
180	739	77
181	742	73
182	746	69
183	749	65
184	752	61
185	755	56
186	759	52
187	762	48
188	765	44
189	768	40
190	772	36
191	775	32
192	778	28
193	781	24
194	784	20
195	788	16
196	791	12
197	794	8
198	798	4
199	801	0
