iter	Passed	Remaining
0	157	31359
1	168	16704
2	177	11672
3	186	9124
4	194	7604
5	203	6566
6	211	5828
7	219	5271
8	228	4841
9	236	4486
10	244	4197
11	252	3953
12	260	3743
13	268	3563
14	276	3408
15	284	3268
16	292	3145
17	300	3033
18	307	2933
19	315	2840
20	323	2757
21	331	2681
22	339	2614
23	347	2548
24	355	2487
25	363	2430
26	372	2386
27	381	2345
28	390	2301
29	398	2256
30	406	2214
31	413	2172
32	421	2133
33	429	2097
34	437	2061
35	444	2027
36	452	1994
37	460	1963
38	468	1933
39	476	1904
40	484	1877
41	491	1850
42	499	1824
43	507	1799
44	515	1774
45	523	1751
46	530	1728
47	539	1706
48	546	1683
49	554	1662
50	561	1640
51	569	1621
52	577	1601
53	585	1581
54	592	1561
55	600	1543
56	608	1525
57	616	1509
58	623	1491
59	631	1474
60	639	1456
61	647	1440
62	654	1423
63	662	1408
64	670	1392
65	678	1376
66	685	1361
67	693	1346
68	700	1330
69	708	1315
70	716	1301
71	724	1287
72	732	1274
73	740	1261
74	748	1247
75	757	1235
76	765	1222
77	774	1210
78	783	1199
79	793	1189
80	801	1177
81	809	1164
82	817	1152
83	824	1138
84	832	1126
85	839	1112
86	847	1100
87	854	1087
88	862	1076
89	870	1063
90	878	1052
91	886	1040
92	894	1028
93	901	1016
94	909	1005
95	917	993
96	924	982
97	933	971
98	942	961
99	951	951
100	959	940
101	968	930
102	976	920
103	984	908
104	992	897
105	999	886
106	1007	875
107	1015	864
108	1022	853
109	1030	843
110	1038	832
111	1045	821
112	1053	810
113	1060	800
114	1068	789
115	1076	779
116	1084	769
117	1092	758
118	1099	748
119	1107	738
120	1115	727
121	1122	717
122	1130	707
123	1138	697
124	1146	687
125	1153	677
126	1161	667
127	1170	658
128	1180	649
129	1189	640
130	1204	634
131	1211	624
132	1219	614
133	1227	604
134	1234	594
135	1242	584
136	1249	574
137	1257	564
138	1265	555
139	1272	545
140	1280	535
141	1287	526
142	1295	516
143	1304	507
144	1312	497
145	1319	488
146	1327	478
147	1335	469
148	1343	459
149	1350	450
150	1358	440
151	1366	431
152	1374	422
153	1382	412
154	1389	403
155	1397	394
156	1405	384
157	1413	375
158	1420	366
159	1428	357
160	1436	347
161	1443	338
162	1451	329
163	1459	320
164	1466	311
165	1474	302
166	1482	292
167	1490	283
168	1498	274
169	1506	265
170	1514	256
171	1522	247
172	1529	238
173	1537	229
174	1544	220
175	1552	211
176	1560	202
177	1568	193
178	1577	185
179	1585	176
180	1594	167
181	1602	158
182	1610	149
183	1618	140
184	1626	131
185	1633	122
186	1642	114
187	1650	105
188	1658	96
189	1665	87
190	1673	78
191	1681	70
192	1688	61
193	1696	52
194	1704	43
195	1711	34
196	1719	26
197	1727	17
198	1735	8
199	1744	0
