iter	Passed	Remaining
0	21	17566
1	39	15679
2	53	14273
3	66	13219
4	78	12506
5	89	11864
6	101	11554
7	113	11267
8	124	10952
9	136	10747
10	147	10553
11	157	10365
12	168	10204
13	180	10108
14	191	10003
15	201	9882
16	212	9797
17	224	9732
18	235	9675
19	246	9613
20	258	9580
21	269	9538
22	280	9471
23	290	9408
24	301	9354
25	314	9349
26	325	9306
27	335	9252
28	346	9206
29	356	9156
30	367	9111
31	378	9088
32	389	9059
33	400	9019
34	411	8999
35	422	8960
36	432	8925
37	443	8884
38	453	8847
39	464	8830
40	476	8820
41	487	8790
42	498	8773
43	510	8765
44	520	8733
45	531	8706
46	543	8702
47	555	8704
48	566	8687
49	579	8697
50	591	8690
51	602	8662
52	617	8703
53	633	8748
54	647	8769
55	664	8832
56	679	8850
57	692	8856
58	706	8869
59	723	8926
60	736	8922
61	750	8929
62	765	8955
63	782	8995
64	798	9031
65	817	9092
66	836	9151
67	855	9204
68	873	9256
69	891	9295
70	908	9331
71	926	9368
72	942	9386
73	955	9374
74	965	9337
75	978	9318
76	991	9307
77	1003	9285
78	1013	9253
79	1025	9231
80	1036	9200
81	1046	9167
82	1059	9150
83	1071	9136
84	1083	9115
85	1095	9091
86	1106	9064
87	1117	9039
88	1127	9009
89	1139	8992
90	1151	8969
91	1164	8957
92	1175	8936
93	1186	8914
94	1198	8890
95	1209	8868
96	1223	8865
97	1235	8848
98	1247	8834
99	1260	8823
100	1272	8808
101	1283	8783
102	1296	8772
103	1306	8745
104	1318	8727
105	1329	8707
106	1340	8684
107	1351	8662
108	1363	8642
109	1374	8620
110	1385	8602
111	1398	8593
112	1409	8570
113	1420	8546
114	1432	8532
115	1443	8514
116	1455	8495
117	1470	8500
118	1487	8510
119	1503	8522
120	1519	8528
121	1533	8521
122	1547	8518
123	1563	8524
124	1580	8532
125	1596	8541
126	1612	8546
127	1628	8551
128	1643	8548
129	1658	8546
130	1676	8564
131	1691	8558
132	1706	8560
133	1721	8557
134	1737	8557
135	1754	8564
136	1768	8559
137	1783	8553
138	1796	8541
139	1807	8522
140	1818	8499
141	1829	8478
142	1841	8461
143	1853	8441
144	1865	8424
145	1876	8405
146	1888	8388
147	1899	8368
148	1910	8346
149	1921	8325
150	1933	8308
151	1945	8295
152	1958	8282
153	1970	8264
154	1981	8247
155	1993	8228
156	2004	8210
157	2015	8187
158	2026	8170
159	2038	8153
160	2050	8136
161	2061	8119
162	2073	8103
163	2085	8086
164	2095	8064
165	2106	8046
166	2118	8030
167	2130	8014
168	2141	7997
169	2154	7983
170	2165	7964
171	2176	7947
172	2188	7931
173	2200	7916
174	2213	7904
175	2225	7889
176	2236	7873
177	2248	7857
178	2260	7842
179	2272	7825
180	2283	7809
181	2294	7789
182	2305	7774
183	2317	7758
184	2328	7741
185	2340	7726
186	2352	7711
187	2363	7693
188	2374	7676
189	2386	7662
190	2398	7647
191	2408	7628
192	2419	7611
193	2431	7595
194	2443	7582
195	2454	7565
196	2467	7551
197	2478	7535
198	2490	7522
199	2501	7505
200	2512	7488
201	2523	7471
202	2535	7456
203	2547	7441
204	2558	7425
205	2571	7416
206	2583	7401
207	2595	7387
208	2606	7369
209	2617	7354
210	2629	7341
211	2640	7323
212	2651	7308
213	2663	7293
214	2675	7280
215	2686	7264
216	2698	7248
217	2708	7231
218	2720	7217
219	2731	7200
220	2743	7187
221	2755	7173
222	2767	7159
223	2778	7143
224	2789	7128
225	2800	7113
226	2812	7098
227	2822	7081
228	2835	7069
229	2846	7055
230	2856	7037
231	2868	7023
232	2880	7008
233	2891	6994
234	2902	6977
235	2915	6966
236	2926	6952
237	2940	6944
238	2951	6928
239	2962	6911
240	2973	6896
241	2985	6884
242	2996	6868
243	3007	6852
244	3018	6838
245	3029	6823
246	3041	6809
247	3052	6794
248	3063	6778
249	3074	6764
250	3085	6748
251	3097	6734
252	3108	6721
253	3120	6707
254	3131	6692
255	3142	6677
256	3153	6663
257	3164	6648
258	3176	6635
259	3193	6632
260	3212	6634
261	3230	6632
262	3246	6628
263	3263	6625
264	3280	6622
265	3297	6618
266	3315	6618
267	3332	6614
268	3348	6609
269	3364	6603
270	3381	6600
271	3397	6594
272	3414	6590
273	3432	6588
274	3448	6583
275	3464	6578
276	3480	6570
277	3495	6563
278	3510	6555
279	3522	6541
280	3535	6530
281	3546	6514
282	3557	6499
283	3570	6486
284	3581	6472
285	3592	6457
286	3604	6443
287	3616	6429
288	3627	6414
289	3638	6399
290	3650	6385
291	3662	6371
292	3673	6356
293	3684	6342
294	3695	6326
295	3708	6314
296	3719	6299
297	3733	6288
298	3743	6272
299	3754	6257
300	3766	6244
301	3777	6228
302	3789	6215
303	3801	6201
304	3812	6187
305	3823	6172
306	3834	6157
307	3846	6144
308	3858	6130
309	3870	6117
310	3881	6103
311	3893	6089
312	3904	6074
313	3915	6059
314	3926	6046
315	3937	6030
316	3948	6016
317	3960	6003
318	3971	5988
319	3983	5974
320	3994	5960
321	4006	5947
322	4018	5934
323	4029	5920
324	4041	5906
325	4052	5891
326	4064	5879
327	4075	5865
328	4086	5850
329	4097	5836
330	4109	5822
331	4119	5807
332	4132	5795
333	4145	5783
334	4157	5770
335	4167	5754
336	4180	5742
337	4191	5729
338	4204	5716
339	4216	5704
340	4229	5692
341	4240	5679
342	4252	5666
343	4263	5651
344	4275	5638
345	4285	5623
346	4298	5611
347	4309	5597
348	4321	5584
349	4332	5569
350	4344	5557
351	4357	5545
352	4367	5530
353	4379	5517
354	4390	5503
355	4402	5490
356	4413	5477
357	4424	5462
358	4437	5451
359	4447	5436
360	4460	5423
361	4471	5410
362	4482	5396
363	4493	5382
364	4505	5369
365	4516	5355
366	4527	5341
367	4538	5327
368	4551	5315
369	4562	5302
370	4574	5289
371	4586	5277
372	4599	5264
373	4611	5253
374	4622	5239
375	4635	5226
376	4646	5212
377	4658	5200
378	4670	5188
379	4681	5174
380	4692	5160
381	4704	5147
382	4715	5134
383	4726	5120
384	4739	5108
385	4751	5096
386	4762	5082
387	4774	5069
388	4786	5056
389	4796	5042
390	4808	5030
391	4819	5016
392	4832	5004
393	4843	4991
394	4855	4978
395	4866	4965
396	4878	4952
397	4890	4939
398	4903	4928
399	4914	4914
400	4926	4901
401	4938	4888
402	4949	4875
403	4960	4862
404	4971	4849
405	4983	4836
406	4995	4823
407	5005	4809
408	5016	4795
409	5027	4782
