iter	Passed	Remaining
0	16	16930
1	51	25925
2	61	20493
3	68	16975
4	97	19359
5	129	21487
6	143	20332
7	161	20007
8	176	19385
9	195	19347
10	217	19547
11	234	19306
12	249	18974
13	262	18512
14	277	18233
15	289	17808
16	305	17643
117	324	17698118	343	1771319	351	17199
20	382	17827
21	406	18059
22	431	18308
23	462	18827
24	486	18969
25	528	19801
26	578	20841
27	605	21035
28	625	20953
29	658	21285
30	686	21464
31	721	21828
32	757	22195
33	792	22530
34	820	22627
35	863	23125
36	892	23240
37	926	23445
338	957	23604339	983	23593
40	1014	23723
41	1044	23829442	1074	23917443	1099	23897444	1130	2394545	1183	24544646	1204	24424747	1244	24680
48	1281	24876
49	1314	24974
50	1339	2451	1551	1358	252	152	1395	2453	1353	1406	254	1554	1430	25555	1393	23485
56	1417	23442
57	1445	23481
58	1471	23473
59	59	1554	24360	60	1580	24361	1550	23456
62	1577	23455
63	1603	23447
64	1628	23426565	1649	233466	1644	22896
6767	1706	23386868	1750	23626969	1786	23747070	1831	23967171	1861	23997272	1879	23867373	1906	23857474	1932	23837575	1963	23877676	1986	23817777	2015	23817878	2053	23945
79	2082	23950
80	2106	23898181	2225	24918282	2262	24992
83	2296	25048484	2311	24877
85	85	2355	25086	2393	25122
87	2444	25336
88	2467	25260
89	2507	25355
90	90	2526	25291	91	2557	25292	92	2587	25293	93	2618	25294	94	2649	25295	95	2676	25296	96	2704	25197	97	2722	25098	98	2757	25099	99	2787	250100100	2808	250101	2907	25594
102102	2859	249103103	2880	248104104	2911	24816
105	2935	24755
106	2958	246107107	2977	245108108	3003	245109109	3022	244110	2971	23796
111	3147	24958
112	3175	24929
113	3211	24958
114	3238	24920
115115	3209	244116	3142	23719
117117	3283	245118	3209	23757
119	3236	23734
120	3263	23706
121	3296	23724
122	3345	23852
123	3579	25284
124	3616	25312
125	3646	25293
126	3669	25224
127	3697	25189
128	3510	23703
129	3537	23676
130	3568	23668
131	3593	23631
13132	3762	245213133	3800	24560
134	3826	24514
135	3869	24582
136	3897	24552
137	3928	24541
138	3968	24582
139	4003	24591
140	4043	24634
141	4072	24605
1142	4101	245811143	4133	245731144	4158	245191145	4193	24527146	4230	24546
147	4265	24554
148	4291	24509
149	4320	24481
150	4343	24422
151	4374	24407
152	4394	24327
153	4424	24304
154	4446	24242
155	4474	24207
156	4507	24200
157	4523	24108
158	4547	24050
159	4566	23975
160	4588	23909
161	4614	23870
162	4633	23795
163	4653	237216164	4677	236716165	4713	23679
166	4736	23628
167	4761	23581
168	4781	23510
1169	4849	23677170	4825	23393
171	4845	23328
172	4868	23271
173	4890	23217
174	4916	23179
175	4940	23132
176	4966	23091
177	5000	23094
178	5018	23018
179	5044	22979
180	5066	22926
181	5087	22867
182	5106	22798
183	5129	22749
184	5151	22694
185	5178	22663
186	5208	22646
187	5240	22632
188	5265	22594
189	5286	22537
190	5311	22497
191	5338	22468
192	5365	22436
193	5384	223719194	5404	223119195	5433	22287
196	5462	22267
197	5491	22243
198	5512	22188
199	5532	22128
200	5565	22124
201	5596	22108
202	5618	22059
203	5639	22006
204	5663	21963
205	5680	21894
206	5701	21841
207	5722	21791
208	5747	21752
209	5768	21702
210	5796	21675
211	5813	21610
212	5836	21563
213	5859	21521
214	5883	21480
215	5916	21476
216	5943	21447
217	5963	21392
218	5987	21354
219	6020	21345
220	6041	21296
221	6064	21254
222	6084	21201
223	6109	21165
224	6135	21134
225	6152	21071
226	6173	21023
227	6200	20996
228	6228	20971
229	6255	20942
230	6282	20915
231	6302	20863
232	6329	20835
233	6351	20793
234	6381	20773
235	6406	20740
236	6430	20703
237	6451	20654
238	6480	20633
239	6501	20589
240	6522	20542
241	6545	20501
242	6566	20454
243	6595	20433
244	6631	20437
245	6664	20426
246	6702	20433
247	6725	20394
248	6761	20394
249	6786	20359
250	6816	20341
251	6837	20294
252	6858	20249
253	6876	20195
254	6900	20159
255	6930	20141
256	6960	20121
257	6983	20084
258	7001	20030
259	7026	19998
260	7059	19989
261	7083	19951
262	7117	19945
263	7143	19914
264	7167	19880
265	7192	19845
266	7220	19821
267	7249	19799
268	7273	19765
269	7295	19723
270	7315	19677
271	7340	19645
272	7364	19610
273	7382	19560
274	7403	19518
275	7432	19496
276	7456	19462
277	7481	19430
278	7499	19379
279	7522	19344
280	7546	19310
281	7572	19280
282	7593	19237
283	7610	19187
284	7649	19191
285	7678	19169
286	7701	19134
287	7729	19109
288	7755	19079
289	7784	19059
290	7813	19037
291	7834	18995
292	7860	18968
293	7886	18938
294	7908	18901
295	7934	18870
296	7954	18827
297	7977	18791
298	8001	18760
299	8030	18737
300	8051	18698
301	8073	18659
302	8102	18637
303	8124	18601
304	8144	18558
305	8169	18528
306	8191	18491
307	8215	18457
308	8234	18414
309	8260	18386
310	8287	18359
311	8312	18329
312	8337	18298
313	8364	18273
314	8389	18244
315	8413	18211
316	8442	18190
317	8465	18155
318	8486	18117
319	8511	18086
320	8537	18059
321	8563	18031
322	8581	17986
323	8611	17967
324	8643	17951
325	8662	17909
326	8685	17876
327	8712	17849
328	8736	17817
329	8757	17779
330	8783	17751
331	8808	17723
332	8828	17683
333	8846	17639
334	8873	17614
335	8906	17600
336	8930	17569
337	8948	17525
338	8971	17493
339	8993	17457
340	9028	17448
341	9063	17437
342	9096	17424
343	9122	17396
344	9147	17366
345	9169	17331
346	9199	17311
347	9220	17275
348	9248	17250
349	9288	17249
350	9314	17222
351	9336	17188
352	9360	17156
353	9388	17132
354	9410	17097
355	9441	17079
356	9462	17043
357	9489	17017
358	9517	16994
359	9542	16965
360	9561	16925
361	9592	16906
362	9615	16873
363	9648	16857
364	9679	16839
365	9719	16836
366	9748	16813
367	9773	16784
368	9808	16772
369	9857	16783
370	9884	16757
371	9912	16733
372	9947	16721
373	9982	16708
374	10009	16682
375	10035	16655
376	10053	16614
377	10090	16603
378	10117	16577
379	10152	16564
380	10178	16537
381	10206	16512
382	10238	16494
383	10267	16471
384	10304	16459
385	10341	16450
386	10372	16429
387	10404	16410
388	10435	16390
389	10478	16388
390	10513	16375
391	10548	16361
392	10572	16328
393	10606	16313
394	10632	16285
395	10657	16255
396	10682	16226
397	10708	16197
398	10746	16186
399	10775	16163
400	10800	16133
401	10837	16121
402	10862	16090
403	10890	16066
404	10915	16035
405	10945	16013
406	10969	15982
407	10994	15953
408	11020	15924
409	11044	15893
410	11069	15863
411	11095	15834
412	11126	15813
413	11153	15787
414	11177	15755
415	11219	15750
416	11257	15739
417	11284	15712
418	11305	15676
419	11328	15643
420	11353	15614
421	11379	15586
422	11407	15560
423	11435	15534
424	11459	15503
425	11481	15469
426	11508	15443
427	11528	15407
428	11560	15386
429	11582	15353
430	11602	15317
431	11632	15294
432	11653	15260
433	11677	15229
434	11701	15198
435	11737	15183
436	11756	15146
437	11781	15117
438	11802	15082
439	11836	15064
440	11861	15035
441	11893	15014
442	11911	14976
443	11946	14960
444	11970	14929
445	11995	14900
446	12025	14877
447	12049	14846
448	12075	14819
449	12104	14794
450	12134	14771
451	12154	14735
452	12177	14704
453	12206	14679
454	12231	14650
455	12258	14623
456	12291	14604
457	12313	14571
458	12342	14547
459	12365	14516
460	12386	14482
461	12410	14451
462	12431	14418
463	12454	14386
464	12476	14355
465	12505	14329
466	12528	14298
467	12550	14267
468	12577	14240
469	12613	14223
470	12633	14188
471	12663	14165
472	12684	14132
473	12709	14103
474	12730	14070
475	12752	14038
476	12782	14014
477	12804	13982
478	12826	13951
479	12853	13925
480	12885	13903
481	12913	13878
482	12954	13866
483	12975	13833
484	12999	13803
485	13019	13769
486	13045	13742
487	13062	13704
488	13086	13675
489	13113	13649
490	13141	13623
491	13167	13596
492	13198	13573
493	13229	13550
494	13255	13522
495	13291	13505
496	13314	13475
497	13343	13450
498	13366	13420
499	13387	13387
500	13415	13361
501	13436	13329
502	13456	13296
503	13480	13266
504	13508	13240
505	13527	13207
506	13546	13172
507	13574	13146
508	13599	13118
509	13631	13097
510	13655	13067
511	13680	13039
512	13707	13013
513	13736	12987
514	13756	12955
515	13777	12923
516	13798	12891
517	13822	12861
518	13851	12837
519	13878	12811
520	13901	12781
521	13928	12754
522	13948	12721
523	13967	12687
524	13993	12660
525	14026	12639
526	14071	12629
527	14104	12608
528	14130	12580
529	14158	12555
530	14201	12542
531	14242	12528
532	14266	12500
533	14288	12468
534	14323	12449
535	14348	12420
536	14373	12392
537	14406	12371
538	14441	12352
539	14472	12328
540	14498	12301
541	14532	12280
542	14577	12268
543	14605	12242
544	14644	12226
545	14682	12208
546	14727	12196
547	14752	12167
548	14788	12148
549	14822	12127
550	14846	12097
551	14878	12074
552	14913	12054
553	14945	12032
554	14986	12015
555	15012	11988
556	15047	11967
557	15086	11950
558	15120	11929
559	15143	11898
560	15161	11864
561	15193	11840
562	15219	11813
563	15245	11785
564	15269	11755
565	15291	11725
566	15320	11699
567	15353	11677
568	15388	11656
569	15415	11629
570	15444	11603
571	15470	11576
572	15508	11557
573	15539	11532
574	15570	11508
575	15594	11479
576	15617	11449
577	15644	11421
578	15671	11395
579	15695	11365
580	15726	11341
581	15752	11313
582	15779	11286
583	15810	11261
584	15831	11230
585	15852	11199
586	15874	11169
587	15908	11146
588	15933	11118
589	15963	11093
590	15990	11066
591	16010	11034
592	16032	11003
593	16057	10975
594	16084	10948
595	16120	10927
596	16141	10895
597	16166	10867
598	16186	10835
599	16209	10806
600	16236	10779
601	16259	10749
602	16277	10716
603	16304	10689
604	16325	10658
605	16345	10627
606	16368	10597
607	16392	10568
608	16415	10539
609	16438	10509
610	16460	10479
611	16481	10449
612	16507	10421
613	16531	10392
614	16553	10362
615	16581	10336
616	16611	10311
617	16634	10282
618	16662	10256
619	16690	10229
620	16711	10199
621	16736	10170
622	16753	10138
623	16781	10111
624	16803	10081
625	16825	10052
626	16860	10030
627	16898	10009
628	16919	9979
629	16941	9949
630	16966	9921
631	16987	9891
632	17015	9865
633	17037	9835
634	17070	9811
635	17098	9785
636	17126	9759
637	17154	9733
638	17184	9708
639	17204	9677
640	17235	9653
641	17260	9625
642	17306	9608
643	17336	9583
644	17358	9553
645	17385	9527
646	17431	9510
647	17460	9484
648	17483	9455
649	17513	9430
650	17539	9402
651	17570	9378
652	17605	9355
653	17637	9331
654	17663	9303
655	17699	9281
656	17734	9258
657	17751	9226
658	17787	9204
659	17817	9178
660	17843	9150
661	17867	9122
662	17892	9094
663	17915	9065
664	17942	9038
665	17976	9015
666	18000	8986
667	18032	8962
668	18078	8944
669	18106	8917
670	18147	8898
671	18180	8874
672	18203	8844
673	18223	8814
674	18255	8789
675	18284	8763
676	18320	8740
677	18356	8717
678	18385	8691
679	18424	8670
680	18461	8647
681	18498	8625
682	18542	8606
683	18579	8583
684	18606	8556
685	18634	8529
686	18658	8500
687	18686	8474
688	18719	8449
689	18771	8433
690	18808	8410
691	18841	8386
692	18865	8357
693	18890	8329
694	18924	8305
695	18949	8276
696	18981	8251
697	19016	8227
698	19056	8206
699	19084	8179
700	19114	8152
701	19139	8124
702	19164	8096
703	19199	8072
704	19235	8049
705	19265	8022
706	19298	7997
707	19325	7970
708	19346	709	1709	19373	710	1710	19399	7885
711	19426	712	1712	19449	7828
713	19473	7800
714	19507	7775
715	19528	7746
716	19552	7717
717	19577	7689
718	19608	7663
719	19630	7634
720	19654	7605
721	19681	7578
722	19703	7549
723	19728	7520
724	19761	725	1725	19792	726	1726	19814	727	1727	19845	728	19737	7337
729	19765	7310
730	19799	7286
731	19819	7256
732	19837	7226
733	19858	7196
734	1734	20006	735	19905	7139
736	19928	7111
737	19956	7084
738	19981	7057
739	2739	20117	7068
740	20140	7039
741	20161	7010
742	20195	6985
743	20217	6956
744	20242	745	20161	6864
746	20196	6840
747	20223	6813
748	20252	6786
749	20280	6760
750	20308	6733
751	20360	6714
752	20383	6686
753	20424	6663
754	20448	6635
755	20466	6605
756	20490	6577
757	20526	6553
758	20564	6529
759	20598	6504
760	20630	6479
761	20653	6450
762	20676	6422
763	20701	6394
764	20735	6369
765	20766	6343
766	20796	6317
767	20828	6291
768	20848	6262
769	20869	6233
770	20896	6206
771	20916	6177
772	20946	6151
773	20976	6124
774	20999	6096
775	21028	6070
776	21054	6042
777	21078	6014
778	21101	5986
779	21134	5961
780	21153	5931
781	21187	5906
782	21212	5878
783	21235	5850
784	21259	5822
785	21287	5795
786	2786	21422	787	2787	21446	788	21368	5714
789	21394	5687
790	21427	5661
791	21453	5634
792	21483	5608
793	21511	5581
794	21539	5554
795	21581	5530
796	21609	5504
797	21635	5476
798	21667	5450
799	21686	5421
800	21731	5398
801	21766	5373
802	21796	5347
803	21829	5321
804	21854	5294
805	21875	5265
806	21908	5239
807	21944	5214
808	21965	5185
809	21998	5160
810	22024	5132
811	22054	5106
812	22084	5079
813	22117	5053
814	22148	5027
815	22181	5001
816	22199	4972
817	22223	4944
818	22252	4917
819	22287	4892
820	22309	4863
821	22335	4836
822	22356	4808
823	22385	4781
824	22419	4755
